t	P_2
256.400000	-581.573991
256.500000	-553.757462
256.600000	-525.887194
256.700000	-497.936791
256.800000	-469.877742
256.900000	-441.728899
257.000000	-413.481521
257.100000	-385.111191
257.200000	-356.659078
257.300000	-328.122708
257.400000	-299.549916
257.500000	-270.898699
257.600000	-242.151593
257.700000	-213.329225
257.800000	-184.427118
257.900000	-155.468412
258.000000	-126.466893
258.100000	-97.382899
258.200000	-68.253533
258.300000	-39.049122
258.400000	-9.803831
258.500000	19.488647
258.600000	48.862858
258.700000	78.327462
258.800000	107.797813
258.900000	137.308330
259.000000	166.819245
259.100000	196.352352
259.200000	225.939859
259.300000	255.548631
259.400000	285.164493
259.500000	314.788825
259.600000	344.431607
259.700000	374.119954
259.800000	403.798507
259.900000	433.451592
260.000000	463.125763
260.100000	492.814873
260.200000	522.521212
260.300000	552.212641
260.400000	581.842946
260.500000	608.906426
260.600000	614.626165
260.700000	573.823876
260.800000	508.019326
260.900000	440.070719
261.000000	372.167864
261.100000	304.200410
261.200000	236.192922
261.300000	168.252618
261.400000	100.353136
261.500000	32.387305
261.600000	-35.576823
261.700000	-103.482110
261.800000	-171.382682
261.900000	-239.330596
262.000000	-307.298701
262.100000	-375.308102
262.200000	-443.335085
262.300000	-511.429720
262.400000	-578.479109
262.500000	-627.111652
262.600000	-630.215486
262.700000	-606.246066
262.800000	-578.075896
262.900000	-549.857868
263.000000	-521.669813
263.100000	-493.607972
263.200000	-465.708603
263.300000	-437.812644
263.400000	-409.970744
263.500000	-382.335582
263.600000	-354.785243
263.700000	-327.327420
263.800000	-300.009262
263.900000	-272.850951
264.000000	-245.778169
264.100000	-218.741921
264.200000	-191.863640
264.300000	-165.207657
264.400000	-138.616893
264.500000	-112.198546
264.600000	-85.913457
264.700000	-59.787809
264.800000	-33.719301
264.900000	-7.874367
265.000000	17.801115
265.100000	43.435127
265.200000	68.920858
265.300000	94.105632
265.400000	119.196344
265.500000	144.211697
265.600000	168.994550
265.700000	193.551278
265.800000	217.995848
265.900000	242.300319
266.000000	266.294307
266.100000	290.195036
266.200000	313.995912
266.300000	337.502139
266.400000	360.789198
266.500000	384.015776
266.600000	406.973557
266.700000	429.648966
266.800000	452.187559
266.900000	474.570203
267.000000	496.679120
267.100000	518.674674
267.200000	540.454246
267.300000	561.989480
267.400000	583.275721
267.500000	582.168602
267.600000	491.929780
267.700000	401.509229
267.800000	311.041218
267.900000	220.446292
268.000000	129.575565
268.100000	38.525235
268.200000	-52.543457
268.300000	-143.815897
268.400000	-235.303356
268.500000	-326.874020
268.600000	-418.708424
268.700000	-510.720567
268.800000	-580.650219
268.900000	-562.914185
269.000000	-545.517609
269.100000	-528.255499
269.200000	-511.221674
269.300000	-494.445532
269.400000	-477.958748
269.500000	-461.724951
269.600000	-445.753907
269.700000	-430.059839
269.800000	-414.512598
269.900000	-399.327751
270.000000	-384.407301
270.100000	-369.716878
270.200000	-355.309967
270.300000	-341.230491
270.400000	-327.388216
270.500000	-313.807903
270.600000	-300.550346
270.700000	-287.544958
270.800000	-274.760278
270.900000	-262.305390
271.000000	-250.141176
271.100000	-238.217713
271.200000	-226.646529
271.300000	-215.370848
271.400000	-204.242929
271.500000	-193.509032
271.600000	-183.132665
271.700000	-172.926478
271.800000	-163.040379
271.900000	-153.544229
272.000000	-144.263480
272.100000	-135.176850
272.200000	-126.517380
272.300000	-118.158052
272.400000	-110.015654
272.500000	-102.213146
272.600000	-94.729482
272.700000	-87.544933
272.800000	-80.634092
272.900000	-74.101679
273.000000	-67.698657
273.100000	-61.769258
273.200000	-56.147115
273.300000	-50.662218
273.400000	-45.422067
273.500000	-40.722501
273.600000	-36.280957
273.700000	-32.102121
273.800000	-28.249090
273.900000	-24.795232
274.000000	-21.491400
274.100000	-18.643495
274.200000	-16.394044
274.300000	-13.559073
274.400000	-11.845839
274.500000	-9.989160
274.600000	-8.774197
274.700000	-7.865707
274.800000	-7.120099
